Mata Pelajaran,Kelas,Nomor Soal,Soal,Soal_5W1H,Jawaban
Biologi,10,13,Garis yang membatasi wilayah peralihan dengan Australian dikenal dengan istilah,Apa nama garis yang membatasi wilayah peralihan dengan Australian?,Weber
Biologi,10,16,"Burung kakaktua, kasuari, dan cenderawasih merupakan burung khas yang banyak ditemukan di daerah","Didaerah apa burung kakaktua, kasuari dan cenderawasih sering ditemukan?",Kawasan Timur Indonesia
Biologi,10,19,Ekosistem padang rumput di Indonesia dapat ditemui di wilayah,Dimanakah ekosistem padang rumput dapat ditemukan di Indonesia?,NTT dan Papua
Biologi,10,26,Tumbuhan yang bakal bijinya tidak dilindungi bakal buah adalah,Apa istilah dari tumbuhan yang bakal bijinya tidak dilindugni oleh bakal buah?,Gymnospermae
Biologi,10,81,Tokoh yang memperkenalkan ekologi adalah,Siapakah yang memperkenalkan ekologi?,Ernest Haeckel
Biologi,10,117,Terjadinya efek rumah kaca disebabkan oleh,Apa penyebab dari efek rumah kaca?,pembakaran yang menghasilkan karbon dioksida
Biologi,11,1,Karbohidrat disimpan dalam hati dalam,Pada bagian hati apa yang berfungsi untuk menyimpan karbohidrat?,glikogen
Biologi,11,31,"Urea yang keluar dari hati melalui darah ke ginjal disaring oleh bagian ginjal, yaitu",Apa nama bagian ginjal yang menyaring urea yang keluar dari hati melalui darah ke ginjal?,lengkung Henle
Biologi,11,32,"Apabila terjadi keracunan, maka organ yang terutama berperan menetralkan racun adalah",Apa nama organ yang berperan menetralkan racun?,hati
Biologi,11,39,Suatu kondisi otak yang membuat penderita sensitif terhadap kejang berulang-ulang disebut,Apa istilah dari kondisi otak yang menyebabkan penderita kejang berulang-ulang?,epilepsi
Pkn,10,8,"UUD 1945 ditetapkan sebagai UUD negara RI diundangkan dalam sebuah Berita Republik Indonesia tahun II No. 7, ditetapkan oleh",Siapa yang menetapkan UUD 1945 sebagai UUD negara RI pada berita RI tahun 2 nomor 7?,PPKI
